period	coarse-list-bag	coarse-list-bag-err	fine-list-bag	fine-list-bag-err	per-thread-list-bag	per-thread-list-bag-err	per-thread-tlist-bag	per-thread-tlist-bag-err
50	148985	31482	130942	15970	173233	34366	117257	20225
100	267596	40853	253296	23454	302020	12707	212803	22175
150	406310	38795	358499	25117	430218	41383	287054	22246
200	517342	42148	490725	29187	560539	50285	380816	18200
250	627652	44544	583415	25033	715821	51148	460232	27309
300	749896	24455	698593	27285	835317	41960	563793	27408
350	864634	123494	774453	33273	979693	32904	636634	32818
400	1002464	48508	877544	37146	1090063	39152	740900	26306
450	1074280	292460	965009	34401	1241596	47319	811857	37038
500	1244556	83497	1057733	38228	1358353	45764	890883	65100
550	1329187	60010	1144673	57864	1472271	22947	975933	42779
600	1531110	131831	1246992	27499	1578545	67800	1072465	31974
650	1572314	58655	1319697	32549	1693375	76334	1150858	25417
700	1707774	60328	1413157	33719	1803243	57009	1253297	20304
750	1839864	75831	1522113	35058	1973488	48739	1330658	30213
