timing	coarse-list-bag	coarse-list-bag-err	fine-list-bag	fine-list-bag-err	per-thread-list-bag	per-thread-list-bag-err	per-thread-tlist-bag	per-thread-tlist-bag-err
10000	5	2	3	0	5	1	3	0
20000	10	1	7	0	7	0	8	0
30000	14	2	12	0	14	3	14	1
40000	19	2	19	2	15	1	18	1
50000	24	4	22	2	19	1	23	1
60000	28	2	29	3	23	2	29	2
70000	32	5	34	1	27	2	35	3
80000	38	6	41	1	31	1	42	3
90000	41	4	46	2	35	2	49	4
100000	48	2	51	3	39	3	55	4
110000	52	4	55	4	43	2	60	6
120000	58	2	63	2	47	2	66	3
130000	62	6	70	3	51	4	71	2
140000	68	16	79	7	56	2	76	5
150000	72	4	84	9	60	2	81	4
