period	coarse-heap-pq	coarse-heap-pq-err	tarray-pcg-perthread-skiplist-pq	tarray-pcg-perthread-skiplist-pq-err	tarray-pcg-skiplist-pq	tarray-pcg-skiplist-pq-err	tarray-pcg-seed-perthread-skiplist-pq	tarray-pcg-seed-perthread-skiplist-pq-err
50	14144	14139	409017	49747	378909	88849	352687	73523
100	49740	49716	439486	65458	391164	38907	420925	66157
150	165711	137131	474505	57678	433805	69194	443255	80412
200	319940	99743	533308	57618	469942	68821	461543	56976
250	425391	190114	562339	63118	514375	66974	505236	50611
300	515606	239978	626992	108410	572435	64557	568505	74551
350	620037	201128	619798	58957	577351	47412	592625	79546
400	737919	191777	679485	58535	628221	95371	600644	47688
450	837901	304702	684790	52456	656398	55432	651776	49338
500	1070693	331375	704547	87437	698598	69779	695533	87147
550	1193471	253797	729219	53507	706696	55078	776175	81549
600	1246005	225837	792316	91892	751677	60462	765496	77148
650	1487666	351689	871395	68012	783060	113382	797956	61284
700	1628249	180830	875924	63452	808695	68919	839143	56285
